Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,C,2,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,C,3,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,D,1,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,D,2,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,D,3,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,1,3888.60,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,2,530.23,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,3,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,4,4418.83,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F,1,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F,2,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F,3,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,H,1,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,H,2,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,H,3,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,1,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,2,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,3,0.00,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,4,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,1,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,2,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,3,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,4,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,5,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,6,0.00,200.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,7,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,8,0.00,200.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,9,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,10,0.00,0.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,11,0.00,200.00,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,12,9236.75,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,13,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,14,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,15,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,16,9236.75,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,17,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,18,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F460,19,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,A,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,A,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,A,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,B1,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,B1,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,B1,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,C,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,C,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,C,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,D,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,D,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,D,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,E,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,E,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,E,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,E,4,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,F,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,H,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,H,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,H,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,I,1,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,I,2,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,I,3,0.00,,
1342882,Oakland First,000,RCP,02/05/2014,07/01/2013,12/31/2013,,,,SMRY,I,4,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,1,4738.00,6826.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,2,0.00,55986.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,3,4738.00,62812.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,4,0.00,0.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,5,4738.00,62812.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,6,3060.00,9429.48,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,7,0.00,0.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,8,3060.00,9429.48,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,9,0.00,0.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,10,0.00,0.00,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,11,3060.00,9429.48,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,12,33887.26,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,13,4738.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,14,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,15,3060.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,16,35565.26,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,17,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,18,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,19,55986.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,A,1,4950.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,A,2,-212.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,A,3,4738.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,B1,1,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,B1,2,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,B1,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,C,1,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,C,2,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,C,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,D,1,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,D,2,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,D,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,1,3000.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,2,60.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,E,4,3060.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F,1,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F,2,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,H,1,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,H,2,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,H,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,1,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,2,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,3,0.00,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,I,4,0.00,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,1,0.00,24250.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,2,0.00,0.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,3,0.00,24250.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,4,0.00,0.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,5,0.00,24250.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,6,3056.60,5580.60,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,7,0.00,0.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,8,3056.60,5580.60,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,9,0.00,0.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,10,0.00,0.00,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,11,3056.60,5580.60,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,12,21926.00,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,13,0.00,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,14,0.00,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,SMRY,F460,15,3056.60,,
